WorkCnt,MachGroup,Day,Use,Capacity
WorkCnt,MachGroup,Day,Use,Capacity
PRD,-LaserMarking_1-LaserMarking_2,1,0.0,1680.0
PRD,-LaserMarking_1-LaserMarking_2,2,0.0,3360.0
PRD,-LaserMarking_1-LaserMarking_2,3,0.0,5040.0
PRD,-LaserMarking_1-LaserMarking_2,4,318.16,6720.0
PRD,-LaserMarking_1-LaserMarking_2,5,318.16,8400.0
PRD,-SMD_1-SMD_2-SMD_3,1,0.0,2520.0
PRD,-SMD_1-SMD_2-SMD_3,2,0.0,5040.0
PRD,-SMD_1-SMD_2-SMD_3,3,0.0,7560.0
PRD,-SMD_1-SMD_2-SMD_3,4,249.68,10080.0
PRD,-SMD_1-SMD_2-SMD_3,5,249.68,12600.0
PRD,-CA_1-CA_2-CA_3-CA_4-CA_5-CA_6-CA_7-CA_8-CA_9,1,0.0,6480.0
PRD,-CA_1-CA_2-CA_3-CA_4-CA_5-CA_6-CA_7-CA_8-CA_9,2,0.0,12960.0
PRD,-CA_1-CA_2-CA_3-CA_4-CA_5-CA_6-CA_7-CA_8-CA_9,3,0.0,19440.0
PRD,-CA_1-CA_2-CA_3-CA_4-CA_5-CA_6-CA_7-CA_8-CA_9,4,589.43,25920.0
PRD,-CA_1-CA_2-CA_3-CA_4-CA_5-CA_6-CA_7-CA_8-CA_9,5,589.43,32400.0
PRD,-Selective_1-Selective_2-Selective_3,1,0.0,2520.0
PRD,-Selective_1-Selective_2-Selective_3,2,0.0,5040.0
PRD,-Selective_1-Selective_2-Selective_3,3,0.0,7560.0
PRD,-Selective_1-Selective_2-Selective_3,4,328.45,10080.0
PRD,-Selective_1-Selective_2-Selective_3,5,328.45,12600.0
PRD,-Depanelize_1-Depanelize_2,1,0.0,1680.0
PRD,-Depanelize_1-Depanelize_2,2,0.0,3360.0
PRD,-Depanelize_1-Depanelize_2,3,0.0,5040.0
PRD,-Depanelize_1-Depanelize_2,4,359.0,6720.0
PRD,-Depanelize_1-Depanelize_2,5,359.0,8400.0
PRD,-Kitting_1,1,0.0,840.0
PRD,-Kitting_1,2,0.0,1680.0
PRD,-Kitting_1,3,0.0,2520.0
PRD,-Kitting_1,4,0.0,3360.0
PRD,-Kitting_1,5,0.0,4200.0
PRD,-ICT_1-ICT_2,1,0.0,1680.0
PRD,-ICT_1-ICT_2,2,0.0,3360.0
PRD,-ICT_1-ICT_2,3,0.0,5040.0
PRD,-ICT_1-ICT_2,4,97.78,6720.0
PRD,-ICT_1-ICT_2,5,97.78,8400.0
PRD,-Coating_1,1,0.0,840.0
PRD,-Coating_1,2,0.0,1680.0
PRD,-Coating_1,3,0.0,2520.0
PRD,-Coating_1,4,142.04,3360.0
PRD,-Coating_1,5,142.04,4200.0
PRD,-IPS_1,1,0.0,840.0
PRD,-IPS_1,2,0.0,1680.0
PRD,-IPS_1,3,0.0,2520.0
PRD,-IPS_1,4,0.0,3360.0
PRD,-IPS_1,5,0.0,4200.0
IM,-120T-120T/2K,1,0.0,2400.0
IM,-120T-120T/2K,2,0.0,4800.0
IM,-120T-120T/2K,3,0.0,7200.0
IM,-120T-120T/2K,4,24.03,9600.0
IM,-120T-120T/2K,5,24.03,12000.0
IM,-120T-120T/2K-80T,1,0.0,3600.0
IM,-120T-120T/2K-80T,2,0.0,7200.0
IM,-120T-120T/2K-80T,3,0.0,10800.0
IM,-120T-120T/2K-80T,4,24.03,14400.0
IM,-120T-120T/2K-80T,5,24.03,18000.0
IM,-120T/2K,1,0.0,1200.0
IM,-120T/2K,2,0.0,2400.0
IM,-120T/2K,3,0.0,3600.0
IM,-120T/2K,4,0.0,4800.0
IM,-120T/2K,5,0.0,6000.0
IM,-300T,1,0.0,1200.0
IM,-300T,2,0.0,2400.0
IM,-300T,3,0.0,3600.0
IM,-300T,4,38.59,4800.0
IM,-300T,5,38.59,6000.0
IM,-300T-500T,1,0.0,2400.0
IM,-300T-500T,2,0.0,4800.0
IM,-300T-500T,3,7200.0,7200.0
IM,-300T-500T,4,182.41,9600.0
IM,-300T-500T,5,182.41,12000.0
IM,-500T,1,0.0,1200.0
IM,-500T,2,0.0,2400.0
IM,-500T,3,0.0,3600.0
IM,-500T,4,113.35,4800.0
IM,-500T,5,113.35,6000.0
IM,-120T,1,0.0,1200.0
IM,-120T,2,0.0,2400.0
IM,-120T,3,0.0,3600.0
IM,-120T,4,0.0,4800.0
IM,-120T,5,0.0,6000.0
IM,-120T-80T,1,0.0,2400.0
IM,-120T-80T,2,0.0,4800.0
IM,-120T-80T,3,0.0,7200.0
IM,-120T-80T,4,0.0,9600.0
IM,-120T-80T,5,0.0,12000.0
IM,-120T-120T/2K-300T-80T,1,0.0,4800.0
IM,-120T-120T/2K-300T-80T,2,0.0,9600.0
IM,-120T-120T/2K-300T-80T,3,0.0,14400.0
IM,-120T-120T/2K-300T-80T,4,62.62,19200.0
IM,-120T-120T/2K-300T-80T,5,62.62,24000.0
IM,-120T-120T/2K-300T,1,0.0,3600.0
IM,-120T-120T/2K-300T,2,0.0,7200.0
IM,-120T-120T/2K-300T,3,0.0,10800.0
IM,-120T-120T/2K-300T,4,62.62,14400.0
IM,-120T-120T/2K-300T,5,62.62,18000.0
SA,-SA_10-SA_12-SA_14-SA_16-SA_18-SA_2-SA_20-SA_22-SA_24-SA_26-SA_28-SA_4-SA_6-SA_8,1,0.0,13440.0
SA,-SA_10-SA_12-SA_14-SA_16-SA_18-SA_2-SA_20-SA_22-SA_24-SA_26-SA_28-SA_4-SA_6-SA_8,2,0.0,26880.0
SA,-SA_10-SA_12-SA_14-SA_16-SA_18-SA_2-SA_20-SA_22-SA_24-SA_26-SA_28-SA_4-SA_6-SA_8,3,0.0,40320.0
SA,-SA_10-SA_12-SA_14-SA_16-SA_18-SA_2-SA_20-SA_22-SA_24-SA_26-SA_28-SA_4-SA_6-SA_8,4,1726.82,53760.0
SA,-SA_10-SA_12-SA_14-SA_16-SA_18-SA_2-SA_20-SA_22-SA_24-SA_26-SA_28-SA_4-SA_6-SA_8,5,3903.6,67200.0
WIRE,-WIRE_A1,1,0.0,1200.0
WIRE,-WIRE_A1,2,0.0,2400.0
WIRE,-WIRE_A1,3,996.64,3600.0
WIRE,-WIRE_A1,4,3406.3,4800.0
WIRE,-WIRE_A1,5,3406.3,6000.0
WIRE,-WIRE_M1-WIRE_M2,1,0.0,1680.0
WIRE,-WIRE_M1-WIRE_M2,2,0.0,3360.0
WIRE,-WIRE_M1-WIRE_M2,3,0.0,5040.0
WIRE,-WIRE_M1-WIRE_M2,4,1858.03,6720.0
WIRE,-WIRE_M1-WIRE_M2,5,1858.03,8400.0
CLEAN,-CLEAN_1-CLEAN_2-CLEAN_3,1,0.0,2880.0
CLEAN,-CLEAN_1-CLEAN_2-CLEAN_3,2,0.0,5760.0
CLEAN,-CLEAN_1-CLEAN_2-CLEAN_3,3,0.0,8640.0
CLEAN,-CLEAN_1-CLEAN_2-CLEAN_3,4,49.83,11520.0
CLEAN,-CLEAN_1-CLEAN_2-CLEAN_3,5,49.83,14400.0
MILL,-MILL,1,0.0,960.0
MILL,-MILL,2,0.0,1920.0
MILL,-MILL,3,0.0,2880.0
MILL,-MILL,4,0.0,3840.0
MILL,-MILL,5,0.0,4800.0
Phantom,-Phantom_1-Phantom_2-Phantom_3-Phantom_4-Phantom_5,1,0.0,4800.0
Phantom,-Phantom_1-Phantom_2-Phantom_3-Phantom_4-Phantom_5,2,0.0,9600.0
Phantom,-Phantom_1-Phantom_2-Phantom_3-Phantom_4-Phantom_5,3,0.0,14400.0
Phantom,-Phantom_1-Phantom_2-Phantom_3-Phantom_4-Phantom_5,4,0.0,19200.0
Phantom,-Phantom_1-Phantom_2-Phantom_3-Phantom_4-Phantom_5,5,0.0,24000.0
