idx,id,depth,Explored,Pruned,Fathomed,Objective,TotalSchedules,IntegerSchedules,SchedulesPerOrder,SchedulesOptimalPerOrder,Integer,CGIterations,MasterCompTime,PricingCompTime
0.0,0,0,1,0,0,360.0,533.0,1.0,13.0,4.609756097560975,0,23.0,1.094358205795288,128.807950258255
1.0,1,1,1,0,0,360.0,532.0,1.0,12.975609756097562,4.609756097560975,0,1.0,0.031244516372680664,0.0
,2,1,0,0,0,,,,,,False,,,
2.0,3,2,1,0,0,360.0,519.0,2.0,12.658536585365853,4.2926829268292686,0,1.0,0.031217336654663086,0.0
,4,2,0,0,0,,,,,,False,,,
3.0,5,3,1,0,0,360.0,507.0,3.0,12.365853658536585,4.121951219512195,0,1.0,0.03123760223388672,0.0
,6,3,0,0,0,,,,,,False,,,
4.0,7,4,1,0,0,360.0,510.0,4.0,12.439024390243903,4.024390243902439,0,1.0,0.04687213897705078,0.0
,8,4,0,0,0,,,,,,False,,,
5.0,9,5,1,0,0,360.0,495.0,5.0,12.073170731707316,3.902439024390244,0,1.0,0.031200408935546875,0.0
,10,5,0,0,0,,,,,,False,,,
6.0,11,6,1,0,0,360.0,484.0,6.0,11.804878048780488,3.731707317073171,0,1.0,0.03124833106994629,0.0
,12,6,0,0,0,,,,,,False,,,
7.0,13,7,1,0,0,360.0,478.0,7.0,11.658536585365853,3.731707317073171,0,1.0,0.03211522102355957,0.0
,14,7,0,0,0,,,,,,False,,,
8.0,15,8,1,0,0,360.0,476.0,8.0,11.609756097560975,3.731707317073171,0,1.0,0.046938419342041016,0.0
,16,8,0,0,0,,,,,,False,,,
9.0,17,9,1,0,0,360.0,456.0,9.0,11.121951219512194,3.5121951219512195,0,1.0,0.031249284744262695,0.0
,18,9,0,0,0,,,,,,False,,,
10.0,19,10,1,0,0,360.0,451.0,10.0,11.0,3.341463414634146,0,1.0,0.015637874603271484,0.0
,20,10,0,0,0,,,,,,False,,,
11.0,21,11,1,0,0,360.00000000000006,490.0,12.0,11.951219512195122,3.4878048780487805,0,2.0,0.14064574241638184,4.804075241088867
,22,11,0,0,0,,,,,,False,,,
12.0,23,12,1,0,0,360.0,481.0,12.0,11.731707317073171,3.4878048780487805,0,1.0,0.031226396560668945,0.0
,24,12,0,0,0,,,,,,False,,,
13.0,25,13,1,0,0,360.0,459.0,13.0,11.195121951219512,3.341463414634146,0,1.0,0.031248807907104492,0.0
,26,13,0,0,0,,,,,,False,,,
14.0,27,14,1,0,0,359.99999999999994,450.0,14.0,10.975609756097562,3.2439024390243905,0,1.0,0.031235694885253906,0.0
,28,14,0,0,0,,,,,,False,,,
15.0,29,15,1,0,0,360.0,471.0,16.0,11.487804878048781,3.1219512195121952,0,3.0,0.18744874000549316,7.945547342300415
,30,15,0,0,0,,,,,,False,,,
16.0,31,16,1,0,0,360.0,466.0,16.0,11.365853658536585,3.1219512195121952,0,1.0,0.02626514434814453,0.0
,32,16,0,0,0,,,,,,False,,,
17.0,33,17,1,0,0,359.99999999999994,429.0,17.0,10.463414634146341,2.7560975609756095,0,1.0,0.03125596046447754,0.0
,34,17,0,0,0,,,,,,False,,,
18.0,35,18,1,0,0,360.0,437.0,19.0,10.658536585365853,2.8536585365853657,0,2.0,0.14067745208740234,3.501959800720215
,36,18,0,0,0,,,,,,False,,,
19.0,37,19,1,0,0,360.00000000000006,430.0,19.0,10.487804878048781,2.8536585365853657,0,1.0,0.026071548461914062,0.0
,38,19,0,0,0,,,,,,False,,,
20.0,39,20,1,0,0,360.0,425.0,20.0,10.365853658536585,2.707317073170732,0,1.0,0.026113033294677734,0.0
,40,20,0,0,0,,,,,,False,,,
21.0,41,21,1,0,0,360.0,441.0,21.0,10.75609756097561,2.926829268292683,0,5.0,0.38483166694641113,13.050875186920166
,42,21,0,0,0,,,,,,False,,,
22.0,43,22,1,0,0,360.0,466.0,27.0,11.365853658536585,2.4146341463414633,0,3.0,0.1763777732849121,5.6303629875183105
,44,22,0,0,0,,,,,,False,,,
23.0,45,23,1,0,0,360.0,441.0,27.0,10.75609756097561,2.4146341463414633,0,1.0,0.015633583068847656,0.0
,46,23,0,0,0,,,,,,False,,,
24.0,47,24,1,0,0,360.0,430.0,27.0,10.487804878048781,2.4146341463414633,0,1.0,0.015620708465576172,0.0
,48,24,0,0,0,,,,,,False,,,
25.0,49,25,1,0,0,360.0,426.0,27.0,10.390243902439025,2.4146341463414633,0,1.0,0.015631675720214844,0.0
,50,25,0,0,0,,,,,,False,,,
26.0,51,26,1,0,0,360.0,420.0,27.0,10.24390243902439,2.4146341463414633,0,1.0,0.01567220687866211,0.0
,52,26,0,0,0,,,,,,False,,,
27.0,53,27,1,0,0,360.0,412.0,27.0,10.048780487804878,2.4146341463414633,0,1.0,0.03130650520324707,0.0
,54,27,0,0,0,,,,,,False,,,
28.0,55,28,1,0,0,360.0,393.0,28.0,9.585365853658537,2.292682926829268,0,2.0,0.09373235702514648,1.8493919372558594
,56,28,0,0,0,,,,,,False,,,
29.0,57,29,1,0,0,360.0,370.0,29.0,9.024390243902438,2.1951219512195124,0,4.0,0.20390033721923828,4.5934834480285645
,58,29,0,0,0,,,,,,False,,,
30.0,59,30,1,0,0,360.0,389.0,30.0,9.487804878048781,2.317073170731707,0,4.0,0.17189908027648926,4.375874042510986
,60,30,0,0,0,,,,,,False,,,
31.0,61,31,1,0,0,360.0,415.0,31.0,10.121951219512194,2.2195121951219514,0,5.0,0.21880674362182617,5.543089389801025
,62,31,0,0,0,,,,,,False,,,
32.0,63,32,1,0,0,360.0,479.0,32.0,11.682926829268293,1.975609756097561,0,14.0,0.6509451866149902,15.201517105102539
,64,32,0,0,0,,,,,,False,,,
33.0,65,33,1,0,0,360.0,440.0,41.0,10.731707317073171,1.0,1,15.0,0.5634322166442871,14.641648769378662
,66,33,0,0,0,,,,,,False,,,
